"Spp","Maneuver"
"AKGOE",""
"ANSTR",""
"AUINF",""
"CAAUR",""
"CALEU",""
"CECIN",""
"CEGRA",""
"CESER",""
"COTOR",""
"DRLIN",""
"EPLEU",""
"FOANA",""
"GLHAR",""
"HAFOR",""
"HEGRI",""
"ISHAU",""
"JAAUR",""
"LAVER",""
"LEAMA",""
"LECOR",""
"MECRU",""
"MOMOR",""
"MONIG",""
"MYBRA",""
"MYHYP",""
"MYMYO",""
"MYSCL",""
"PAHYP",""
"PICAY",""
"PICHL",""
"PIFAS",""
"PLPLA",""
"PYSTE",""
"RHSIM",""
"SAGRO",""
"SCHEM",""
"SIGRI",""
"TRCOL",""
"TRCUR",""
"TRMEL",""
"TRRAM",""
"UK",""
"UKCAN",""
"UKCOL",""
"XIGUT",""
